"category","country","unit","year","value","sheet"
"Total coffee, tea, and spices","Colombia","Million dollars","2023",1560.8,"Coffee"
"Total coffee, tea, and spices","Colombia","Million dollars","2022",2132,"Coffee"
"Total coffee, tea, and spices","Colombia","Million dollars","2021",1485.3,"Coffee"
"Total coffee, tea, and spices","Colombia","Million dollars","2020",1221.8,"Coffee"
"Total coffee, tea, and spices","Colombia","Million dollars","2019",1267.9,"Coffee"
"Total coffee, tea, and spices","Colombia","Million dollars","2018",1254,"Coffee"
"Total coffee, tea, and spices","Colombia","Million dollars","2017",1367.9,"Coffee"
"Total coffee, tea, and spices","Colombia","Million dollars","2016",1194.9,"Coffee"
"Total coffee, tea, and spices","Colombia","Million dollars","2015",1311.2,"Coffee"
"Total coffee, tea, and spices","Colombia","Million dollars","2014",1243.7,"Coffee"
"Total coffee, tea, and spices","Colombia","Million dollars","2013",1026.2,"Coffee"
"Total coffee, tea, and spices","Colombia","Million dollars","2012",999.5,"Coffee"
"Total coffee, tea, and spices","Colombia","Million dollars","2011",1441.9,"Coffee"
"Total coffee, tea, and spices","Colombia","Million dollars","2010",918.1,"Coffee"
"Total coffee, tea, and spices","Colombia","Million dollars","2009",789,"Coffee"
"Total coffee, tea, and spices","Colombia","Million dollars","2008",853.7,"Coffee"
"Total coffee, tea, and spices","Colombia","Million dollars","2007",706.8,"Coffee"
"Total coffee, tea, and spices","Colombia","Million dollars","2006",629.9,"Coffee"
"Total coffee, tea, and spices","Colombia","Million dollars","2005",632.7,"Coffee"
"Total coffee, tea, and spices","Colombia","Million dollars","2004",410,"Coffee"
"Total coffee, tea, and spices","Colombia","Million dollars","2003",377.3,"Coffee"
"Total coffee, tea, and spices","Colombia","Million dollars","2002",331.4,"Coffee"
"Total coffee, tea, and spices","Colombia","Million dollars","2001",318.8,"Coffee"
"Total coffee, tea, and spices","Colombia","Million dollars","2000",451.6,"Coffee"
"Total coffee, tea, and spices","Colombia","Million dollars","1999",519.3,"Coffee"
"Total coffee, tea, and spices","Brazil","Million dollars","2023",1541.4,"Coffee"
"Total coffee, tea, and spices","Brazil","Million dollars","2022",2266.7,"Coffee"
"Total coffee, tea, and spices","Brazil","Million dollars","2021",1378.7,"Coffee"
"Total coffee, tea, and spices","Brazil","Million dollars","2020",1216.7,"Coffee"
"Total coffee, tea, and spices","Brazil","Million dollars","2019",1171.6,"Coffee"
"Total coffee, tea, and spices","Brazil","Million dollars","2018",1122.4,"Coffee"
"Total coffee, tea, and spices","Brazil","Million dollars","2017",1258.6,"Coffee"
